z,E,Omega_m,Omega_Lambda,q
2.49,3.851776603075521,0.9550648123802016,0.04493518761979861,0.4325972185703022
2.5,3.867600461957431,0.9554317548746518,0.04456824512534819,0.4331476323119777
2.51,3.883449969636105,0.955794804877274,0.044205195122725895,0.43369220731591107
2.52,3.8993250698037474,0.956154012363867,0.043845987636133024,0.4342310185458005
2.53,3.9152257065632026,0.9565094265709182,0.0434905734290819,0.4347641398563772
2.54,3.9311518244233032,0.9568610960077015,0.0431389039922985,0.4352916440115523
2.55,3.947103368294273,0.9572090684681649,0.04279093153183512,0.43581360270224734
2.56,3.963080283483207,0.957553391042611,0.04244660895738903,0.4363300865639164
2.57,3.9790825156895986,0.9578941101291759,0.042105889870823976,0.436841165193764
2.58,3.995110011000949,0.9582312714451094,0.041768728554890534,0.43734690716766417
2.59,4.011162715888416,0.9585649200378575,0.04143507996214243,0.43784738005678636
2.6,4.027240577202543,0.9588951002959554,0.04110489970404472,0.43834265044393295
2.61,4.04334354216903,0.9592218559597289,0.0407781440402712,0.43883278393959324
2.62,4.059471558384581,0.9595452301318129,0.040454769868187024,0.43931784519771944
2.63,4.075624573812788,0.959865265287486,0.04013473471251399,0.439797897931229
2.64,4.091802536780093,0.9601820032848254,0.03981799671517454,0.44027300492723814
2.65,4.108005395971789,0.9604954853746877,0.039504514625312015,0.4407432280620318
2.66,4.1242331004280866,0.9608057522105166,0.03919424778948362,0.4412086283157747
2.67,4.140485599540228,0.9611128438579766,0.038887156142023115,0.4416692657869652
2.68,4.156762843046658,0.9614167998044294,0.03858320019557052,0.44212519970664416
2.69,4.173064781029246,0.9617176589682344,0.03828234103176536,0.4425764884523518
2.7,4.18939136390956,0.9620154597078988,0.03798454029210111,0.4430231895618483
2.71,4.20574254244519,0.9623102398310623,0.03768976016893757,0.4434653597465936
2.72,4.222118267726127,0.9626020366033314,0.037397963396668524,0.4439030549049972
2.73,4.238518491171178,0.9628908867569577,0.03710911324304202,0.44433633013543683
2.74,4.25494316452445,0.9631768264993694,0.03682317350063032,0.4447652397490544
2.75,4.271392239851857,0.9634598915215531,0.03654010847844705,0.4451898372823295
2.76,4.287865669537701,0.9637401170062914,0.036259882993708775,0.44561017550943693
2.77,4.304363406281275,0.9640175376362611,0.03598246236373868,0.44602630645439184
2.78,4.320885403093522,0.9642921876019904,0.03570781239800956,0.44643828140298564
2.79,4.337431613293748,0.9645641006096761,0.03543589939032357,0.4468461509145145
2.8,4.354001990506358,0.9648333098888734,0.03516669011112675,0.4472499648333099
2.81,4.37059648865766,0.9650998482000447,0.03490015179995526,0.4476497723000671
2.82,4.387215061972686,0.9653637478419881,0.03463625215801169,0.44804562176298235
2.83,4.4038576649720795,0.9656250406591314,0.03437495934086839,0.4484375609886973
2.84,4.420524252469006,0.9658837580487037,0.0341162419512962,0.44882563707305567
2.85,4.437214779566118,0.9661399309677844,0.033860069032215744,0.44920989645167647
2.86,4.453929201652551,0.9663935899402303,0.03360641005976968,0.4495903849103455
2.87,4.470667474400961,0.9666447650634868,0.03335523493651323,0.4499671475952302
2.88,4.4874295537646045,0.9668934860152789,0.03310651398472122,0.45034022902291826
2.89,4.504215395974457,0.9671397820601909,0.03286021793980925,0.4507096730902862
2.9,4.521024957536362,0.9673836820561326,0.032616317943867316,0.45107552308419896
2.91,4.537858195228229,0.9676252144606966,0.032374785539303466,0.45143782169104485
2.92,4.5547150660972555,0.9678644073374043,0.03213559266259582,0.45179661100610635
2.93,4.571595527457199,0.968101288361849,0.03189871163815084,0.4521519325427737
2.94,4.588499536885669,0.9683358848277338,0.03166411517226609,0.4525038272416008
2.95,4.6054270522214695,0.9685682236528047,0.0314317763471954,0.45285233547920695
2.96,4.622378031561965,0.9687983313846851,0.031201668615314877,0.45319749707702767
2.97,4.639352433260488,0.9690262342066122,0.030973765793387658,0.4535393513099184
2.98,4.656350215923769,0.969251957943074,0.03074804205692594,0.45387793691461104
2.99,4.673371338409422,0.9694755280653518,0.030524471934648197,0.4542132920980277
3.0,4.69041575982343,0.9696969696969696,0.0303030303030303,0.45454545454545453
